ec,deficit,baseline,uptake,starvation,total_depletion
-100.0,100.75,0.0038,0.0,0.6045,0.6083000000000001
-50.0,50.75,0.0038,0.0,0.3045,0.3083
-25.0,25.75,0.0038,0.0,0.1545,0.1583
-10.0,10.75,0.0038,0.0,0.0645,0.0683
-5.0,5.75,0.0038,0.0,0.0345,0.0383
-1.0,1.75,0.0038,0.0,0.0105,0.0143
0.0,0.75,0.0038,0.0,0.0045000000000000005,0.0083
0.1,0.65,0.0038,0.00035000000000000005,0.0039000000000000003,0.00805
0.25,0.5,0.0038,0.000875,0.003,0.007675
0.5,0.25,0.0038,0.00175,0.0015,0.007050000000000001
0.75,0.0,0.0038,0.002625,0.0,0.006425
1.0,0.0,0.0038,0.0035,0.0,0.0073
1.2,0.0,0.0038,0.0042,0.0,0.008
1.5,0.0,0.0038,0.00525,0.0,0.00905
2.0,0.0,0.0038,0.007,0.0,0.0108
